useralpha,1626035976.7856941,login,failurenull,1626035976.7856941,register user useralpha,successuseralpha,1626035976.7897289,login,successuseralpha,1626035976.7897289,create type animal 4 name age height weight
,successuseralpha,1626035976.7897289,inherit type human animal alias occupation
,successuseralpha,1626035976.7976954,create record human 3 MarkWebbler 27 178 81 Shadow engineer
,successuseralpha,1626035976.7976954,list record human
,successuseralpha,1626035976.8016956,list record animal
,successuseralpha,1626035976.8016956,logout,successnull,1626035976.8016956,list record human
,failurenull,1626035976.8016956,list type
,failureuseralpha,1626035976.8016956,login,successuseralpha,1626035976.8096952,create record human 1 JaneBradley 24 171 61 Leaf doctor
,successuseralpha,1626035976.8096952,list record human
,successuseralpha,1626035976.8096952,logout,successnull,1626035976.8096952,register user userbeta,successuserbeta,1626035976.8096952,login,successuserbeta,1626035976.8256943,create record human 2 JonathanByn 20 190 88 Raw mechanic
,successuserbeta,1626035976.8256943,list record human
,successuserbeta,1626035976.829723,inherit type kitunian animal color fangCount
,successuserbeta,1626035976.8417122,create record kitunian 5 MrsEvangeline 2 40 3 black 4
,successuserbeta,1626035976.8577151,create record kitunian 8 MrEvangeline 1 32 2 black 2
,successuserbeta,1626035976.873697,create record kitunian 6 RopeHunter 2 38 4 blue 4
,successuserbeta,1626035976.8817189,create record kitunian 1 Findik 1 20 1 yellow 0
,successuserbeta,1626035976.8977265,create record kitunian 11 Meercat 3 43 4 blue 6
,successuserbeta,1626035976.9013538,list record kitunian
,successuserbeta,1626035976.9013538,logout,successuseralpha,1626035976.9013538,login,successuseralpha,1626035976.9013538,update record human 2 JonathanByn 30 190 83 Raw mechanic
,successuseralpha,1626035976.9013538,list type
,successuseralpha,1626035976.9013538,search record kitunian 1
,successuseralpha,1626035976.9013538,logout,successuserbeta,1626035976.9013538,login,successuserbeta,1626035976.9013538,inherit type centifyren animal flameColor
,successuserbeta,1626035976.909358,create record centifyren 7 CFG7 2 100 4 golden
,successuserbeta,1626035976.9253893,create record centifyren 3 CFB3 3 140 7 black
,successuserbeta,1626035976.9293578,list record centifyren
,successuserbeta,1626035976.9293578,list record centifyren
,successuserbeta,1626035976.9293578,list type
,successuserbeta,1626035976.9293578,delete type centifyren
,successuserbeta,1626035976.9293578,list type
,successuserbeta,1626035976.9293578,delete type centifyren
,failureuserbeta,1626035976.9293578,logout,successuseralpha,1626035999.8893557,login,failureuseralpha,1626035999.8893557,login,successuseralpha,1626035999.8893557,list type
,successuseralpha,1626035999.8893557,create type plant 3 name age color
,successuseralpha,1626035999.8893557,inherit type castely plant domestic
,successuseralpha,1626035999.8893557,inherit type mircastely castely rootType
,successuseralpha,1626035999.8893557,inherit type fybranite plant soilType
,successuseralpha,1626035999.8893557,inherit type fybran fybranite barkColor
,successuseralpha,1626035999.8893557,create type animal 4 name age height weight
,successuseralpha,1626035999.8933547,inherit type sentoru animal legCount
,successuseralpha,1626035999.8933547,inherit type bosentoru sentoru hornDensity
,successuseralpha,1626035999.8933547,list type
,successuseralpha,1626035999.9173555,create record mircastely 1 mircast1 2 yellow yes liquid
,successuseralpha,1626035999.9293554,create record mircastely 3 mircast3 3 green no liquid
,successuseralpha,1626035999.9413545,create record mircastely 2 mircast2 2 yellow yes noliquid
,successuseralpha,1626035999.961355,create record castely 3 cast3 1 blue no
,successuseralpha,1626035999.9822896,create record castely 5 cast5 3 blue yes
,successuseralpha,1626036000.001355,create record castely 4 cast4 2 brown no
,successuseralpha,1626036000.017355,create record fybranite 7 fybranit7 3 brown ironoxide
,successuseralpha,1626036000.0613546,create record fybranite 6 fybranit6 1 brown swamp
,successuseralpha,1626036000.073355,create record fybranite 9 fybranit9 2 black sulphuric
,successuseralpha,1626036000.085355,create record fybran 11 fybran11 4 black sulphuric brown
,successuseralpha,1626036000.0973577,create record fybran 13 fybran13 2 brown ironoxide brown
,successuseralpha,1626036000.128352,create record bosentoru 21 bosen21 4 500 1000 8 25
,successuseralpha,1626036000.140352,create record bosentoru 24 bosen24 7 900 14000 8 41
,successuseralpha,1626036000.1523201,create record bosentoru 22 bosen22 3 400 900 6 16
,successuseralpha,1626036000.16432,create record bosentoru 23 bosen23 1 200 400 6 3
,successuseralpha,1626036000.1723208,create record sentoru 25 sen25 2 300 750 6
,successuseralpha,1626036000.1843202,create record sentoru 26 sen26 4 450 1150 8
,successuseralpha,1626036000.1883216,list record bosentoru
,successuseralpha,1626036000.192321,list record plant
,successuseralpha,1626036000.192321,list record animal
,successuseralpha,1626036000.192321,update record sentoru 25 sen25 4 600 3750 8
,successuseralpha,1626036000.192321,logout,successuserbeta,1626036009.4426866,login,successuserbeta,1626036009.4426866,list record fybranite
,successuserbeta,1626036009.4426866,list record fybranite
,successuserbeta,1626036009.4426866,list record mircastely
,successuserbeta,1626036009.4426866,delete type castely
,successuserbeta,1626036009.4426866,list type
,successuserbeta,1626036009.4426866,logout,successnull,1626036009.4426866,search record bosentoru 24
,failurenull,1626036009.4426866,search record kitunian 1
,failurenull,1626036021.0982244,list record fybran
,failurenull,1626036021.0982244,search record fybranite 7
,failureuseralpha,1626036021.0982244,login,successuseralpha,1626036021.0982244,update record bosentoru 24 bosen24 7 1900 144000 8 151
,successuseralpha,1626036021.1021922,list record bosentoru
,successuseralpha,1626036021.1062286,list record kitunian
,successuseralpha,1626036021.1062286,list record human
,successuseralpha,1626036021.1062286,logout,successnull,1626036021.1062286,list type,failure
